chr	start	end	Distance.to.TSS	Gene.Name	strand	6OHDA_Tag	Sham_Tag	6OHDA_NDST3_Tag	Fold.Sham	Fold.6OHDA_NDST3
chr12	34967595	34967695	-551	Hdac9	+	8.25	11.45	10.31	-1.39	1.25
chr12	35736204	35736304	49	9130015A21Rik	+	10.75	14.85	11.77	-1.39	1.09
chr12	35736417	35736517	-164	9130015A21Rik	+	34.75	40.01	38.17	-1.15	1.1
chr12	35736906	35737006	-653	9130015A21Rik	+	13.50	14.30	12.50	-1.06	-1.08
chr12	36092910	36093010	-483	Tspan13	+	13.00	22.60	10.00	-1.74	-1.3
chr12	36093165	36093265	-738	Tspan13	+	17.00	33.90	20.50	-2	1.2
chr12	36206285	36206385	489	Bzw2	+	8.00	11.80	6.00	-1.48	-1.34
chr12	36207632	36207742	564	Ankmy2	+	88.00	84.17	90.34	1.05	1.03
chr12	40495018	40495118	721	Zfp277	+	14.75	18.88	10.68	-1.28	-1.38
chr12	40496507	40496607	505	Dock4	+	30.00	29.00	26.50	1.03	-1.13
chr12	40496657	40496757	655	Dock4	+	22.25	33.52	33.27	-1.51	1.5
chr12	51051621	51051772	-243	1700008C04Rik	+	19.50	16.77	17.45	1.16	-1.12
chr12	51051778	51051878	-111	1700008C04Rik	+	16.25	19.89	16.76	-1.22	1.03
chr12	51736749	51736849	-950	Ap4s1	+	16.75	24.24	23.86	-1.45	1.42
chr12	51736922	51737022	-777	Ap4s1	+	33.50	32.51	53.19	1.03	1.59
chr12	52745675	52745775	-441	Akap6	+	18.75	11.64	10.64	1.61	-1.77
chr12	52745825	52745946	-281	Akap6	+	17.50	15.70	11.50	1.11	-1.52
chr12	54438750	54438904	-723	Gm7550	+	14.00	11.30	10.00	1.24	-1.4
chr12	55348849	55348949	-523	Prorp	+	6.00	10.30	3.50	-1.72	-1.72
chr12	55611773	55611873	-167	Aldoart2	+	21.25	15.16	17.62	1.4	-1.21
chr12	56637084	56637275	-665	C87198	+	114.75	119.61	101.17	-1.04	-1.13
chr12	59177906	59178182	-223	Mia2	+	26.00	31.00	24.00	-1.19	-1.09
chr12	69215459	69215559	-79	Lrr1	+	27.00	31.50	39.90	-1.17	1.48
chr12	73160472	73160663	-368	Six4	+	34.00	27.10	39.40	1.26	1.16
chr12	73334054	73334154	482	Slc38a6	+	13.00	23.77	19.50	-1.83	1.5
chr12	74043700	74043800	-801	Syt16	+	9.25	6.23	8.22	1.49	-1.13
chr12	74044119	74044226	-379	Syt16	+	6.00	10.30	10.00	-1.72	1.66
chr12	75224217	75224317	-161	Kcnh5	+	15.00	6.68	12.93	2.25	-1.16
chr12	75464172	75464272	-667	Gphb5	+	27.75	33.10	31.18	-1.19	1.13
chr12	75464337	75464457	-842	Gphb5	+	29.50	29.50	28.88	1	-1.02
chr12	76463593	76463732	-711	Ppp1r36	+	22.50	24.10	28.90	-1.07	1.29
chr12	77009445	77009689	-545	Max	+	25.75	26.72	32.86	-1.04	1.28
chr12	81532671	81532771	-810	Cox16	+	50.00	31.25	53.02	1.6	1.06
chr12	81532797	81532910	-942	Cox16	+	81.00	62.74	104.23	1.29	1.29
chr12	81642651	81642834	-960	Med6	+	51.75	28.75	39.62	1.8	-1.31
chr12	84408809	84408993	159	Coq6	+	167.50	124.16	182.29	1.35	1.09
chr12	85143050	85143229	715	Prox2	+	24.75	17.66	29.80	1.4	1.21
chr12	86772107	86772248	-904	Gm32755	+	42.50	45.70	51.90	-1.08	1.22
chr12	86932432	86932583	-919	Irf2bpl	+	56.00	34.78	56.92	1.61	1.02
chr12	91012414	91012514	-158	5430427M07Rik	+	12.25	15.39	11.23	-1.26	-1.09
chr12	91012654	91012765	87	5430427M07Rik	+	15.00	26.60	19.50	-1.77	1.3
chr12	91816116	91816216	-235	Sel1l	+	56.50	48.00	63.65	1.18	1.13
chr12	91816391	91816498	-513	Sel1l	+	6.75	7.56	12.38	-1.11	1.83
chr12	98545060	98545160	-638	Kcnk10	+	25.25	26.20	24.72	-1.04	-1.02
chr12	98545233	98545333	-811	Kcnk10	+	37.50	47.57	42.47	-1.27	1.13
chr12	99306470	99306570	-770	3300002A11Rik	+	21.75	22.34	33.79	-1.03	1.56
chr12	99530001	99530101	-49	Gm26839	+	11.25	6.94	12.86	1.63	1.14
chr12	100242227	100242424	-543	Gm10432	+	54.00	45.28	81.56	1.19	1.51
chr12	100952378	100952621	-389	Gm36756	+	98.75	97.67	95.99	1.01	-1.03
chr12	100988763	100988865	-787	Mir1190	+	29.25	24.89	28.14	1.18	-1.04
chr12	101924518	101924618	-66	Atxn3	+	10.50	15.20	7.50	-1.45	-1.4
chr12	102723956	102724058	62	Gon7	+	11.50	17.70	29.40	-1.54	2.56
chr12	103281947	103282047	779	Fam181a	+	16.25	4.21	9.96	3.84	-1.63
chr12	103322768	103322971	-609	Asb2	+	30.00	41.11	44.14	-1.37	1.47
chr12	103643408	103643568	-467	Serpina16	+	28.00	39.80	39.90	-1.42	1.43
chr12	103643657	103643757	-686	Serpina16	+	11.00	13.30	17.00	-1.21	1.54
chr12	104066388	104066521	-918	Serpina5	+	30.50	35.40	38.90	-1.16	1.28
chr12	104067003	104067103	-319	Serpina5	+	1.50	3.00	2.00	-1.97	1.33
chr12	104213988	104214088	-117	Serpina3h	+	25.00	30.00	19.00	-1.2	-1.32
chr12	104214173	104214317	90	Serpina3h	+	17.00	25.60	16.00	-1.5	-1.06
chr12	104440305	104440479	-897	Gsc	+	57.75	43.61	51.12	1.32	-1.13
chr12	104719111	104719271	-980	Dicer1	+	49.50	50.20	59.90	-1.01	1.21
chr12	104965265	104965461	-427	Syne3	+	109.25	71.81	122.64	1.52	1.12
chr12	106001986	106002086	-763	Vrk1	+	21.50	16.70	24.00	1.29	1.11
chr12	108272114	108272214	-365	Hhipl1	+	11.50	12.30	7.00	-1.07	-1.65
chr12	108272410	108272510	-69	Hhipl1	+	9.25	12.46	17.99	-1.35	1.94
chr12	108668734	108668861	-236	Degs2	+	23.00	18.20	29.90	1.26	1.3
chr12	109417911	109418011	-788	Dlk1	+	17.75	12.28	17.75	1.45	-1
chr12	109583829	109583929	-813	Mir370	+	6.00	8.58	8.18	-1.44	1.36
chr12	109620692	109620792	-319	Gm26922	+	1.50	3.00	9.00	-1.97	5.99
chr12	109678432	109678532	245	Mir380	+	7.00	7.40	4.00	-1.05	-1.75
chr12	110557110	110557265	-621	B930059L03Rik	+	18.75	17.02	20.31	1.1	1.08
chr12	110946388	110946488	-964	Ankrd9	+	14.00	10.30	18.00	1.36	1.28
chr12	112644591	112644691	-633	Zbtb42	+	181.25	128.64	211.48	1.41	1.17
chr12	112644736	112644880	-466	Zbtb42	+	284.75	177.82	315.79	1.6	1.11
chr12	112977088	112977188	-990	Pacs2	+	27.75	22.40	27.14	1.24	-1.02
chr12	113119161	113119261	-830	Tedc1	+	10.25	11.03	9.74	-1.08	-1.05
chr12	113119406	113119604	-536	Tedc1	+	56.00	39.59	51.83	1.41	-1.08
chr12	117115275	117115375	-436	Gm10421	+	9.00	3.00	6.00	3.05	-1.5
chr12	117496867	117496967	-631	Rapgef5	+	8.00	5.40	8.50	1.48	1.06
chr12	117807200	117807343	-325	Cdca7l	+	25.00	15.70	22.00	1.59	-1.14
chr12	118265208	118265308	-83	Sp4	+	5.50	5.41	15.40	1.02	2.79
chr12	118930941	118931145	-887	Abcb5	+	43.25	61.22	45.25	-1.42	1.05
chr13	4298221	4298321	-463	Marcksl1-ps4	+	8.00	8.90	13.00	-1.11	1.62
chr13	12272953	12273112	-33	Mtr	+	22.75	27.70	29.73	-1.22	1.31
chr13	15638098	15638198	-160	Gli3	+	3.00	10.80	3.50	-3.61	1.16
chr13	17614424	17614524	-901	Rnu6	+	3.50	3.90	5.50	-1.12	1.57
chr13	17615357	17615457	32	Rnu6	+	9.75	18.23	3.08	-1.87	-3.17
chr13	18168202	18168302	-316	Yae1d1	+	6.00	3.90	5.00	1.52	-1.2
chr13	19580053	19580153	-120	Stard3nl	+	10.00	6.40	1.50	1.56	-6.68
chr13	19803840	19804032	64	Epdr1	+	25.25	22.87	21.21	1.1	-1.19
chr13	19804145	19804245	-195	Epdr1	+	13.00	18.01	9.36	-1.38	-1.39
chr13	19806897	19807013	-390	Sfrp4	+	21.00	28.33	22.54	-1.35	1.07
chr13	21363168	21363268	-883	Trim27	+	16.75	28.57	20.81	-1.71	1.24
chr13	21363274	21363374	-777	Trim27	+	8.00	13.80	6.50	-1.72	-1.23
chr13	21530906	21531083	-106	Or2b28	+	285.50	211.54	302.13	1.35	1.06
chr13	21919130	21919230	-24	H4c11	+	25.25	29.62	26.80	-1.17	1.06
chr13	21934826	21934926	-153	H4c12	+	5.50	4.90	3.00	1.12	-1.84
chr13	21935579	21935679	-906	H4c12	+	20.25	24.30	17.72	-1.2	-1.15
chr13	21994732	21994832	145	H2ac24	+	3.50	3.40	2.00	1.02	-1.75
chr13	23299190	23299290	-340	Vmn1r217	+	18.25	27.62	22.31	-1.52	1.22
chr13	23299374	23299503	-538	Vmn1r217	+	11.25	26.02	11.76	-2.31	1.04
chr13	23368873	23368973	-229	Vmn1r220	+	107.00	113.54	130.52	-1.06	1.22
chr13	23369044	23369226	-441	Vmn1r220	+	448.00	432.40	449.21	1.04	1
chr13	23497985	23498085	340	4930586N03Rik	+	26.50	33.00	24.50	-1.24	-1.08
chr13	23498190	23498373	586	4930586N03Rik	+	15.75	27.68	17.85	-1.76	1.13
chr13	23940523	23940623	-347	H4c2	+	5.25	10.79	5.78	-2.06	1.1
chr13	24117475	24117575	614	H2bc1	+	12.75	16.87	9.18	-1.32	-1.39
chr13	24985684	24985784	94	BC005537	+	167.00	131.02	175.75	1.27	1.05
chr13	25015658	25015795	84	Tdp2	+	18.00	14.79	4.63	1.21	-3.9
chr13	26150662	26150853	-458	Gm11351	+	29.50	32.00	36.40	-1.08	1.23
chr13	29199532	29199632	-656	A330102I10Rik	+	12.50	5.90	5.50	2.12	-2.28
chr13	29199674	29199774	-514	A330102I10Rik	+	13.25	11.09	10.19	1.19	-1.3
chr13	29199814	29199914	-374	A330102I10Rik	+	17.25	17.45	18.77	-1.01	1.09
chr13	30729239	30729364	-2	Uqcrfs1	+	57.00	50.71	61.99	1.12	1.09
chr13	32968036	32968136	-139	Mylk4	+	4.00	9.30	10.00	-2.34	2.5
chr13	34314742	34314842	-455	Tubb2b	+	4.50	11.80	12.50	-2.62	2.77
chr13	35843493	35843683	-257	Cdyl	+	20.00	14.83	14.36	1.34	-1.4
chr13	35843754	35843854	-41	Cdyl	+	10.50	10.79	11.55	-1.03	1.1
chr13	36090394	36090494	-114	Rpp40	+	4.50	10.30	3.50	-2.3	-1.29
chr13	36914668	36914768	-55	Nrn1	+	11.25	17.32	12.27	-1.54	1.09
chr13	36914826	36914926	-213	Nrn1	+	9.00	15.20	11.50	-1.69	1.28
chr13	36919139	36919239	-738	Nrn1	+	1.50	3.40	9.50	-2.3	6.32
chr13	38220569	38220782	238	Cage1	+	20.25	12.15	14.68	1.67	-1.38
chr13	38713612	38713712	-862	Txndc5	+	2.00	11.30	8.00	-5.66	3.99
chr13	38818978	38819095	32	Bloc1s5	+	24.25	34.62	17.40	-1.43	-1.4
chr13	40887118	40887289	68	Tfap2a	+	58.00	60.97	60.93	-1.05	1.05
chr13	41264013	41264113	-599	Gcm2	+	11.50	4.90	4.00	2.34	-2.88
chr13	41402266	41402452	-961	Smim13	+	10.25	11.52	17.94	-1.12	1.75
chr13	41759150	41759292	-137	Tmem170b	+	47.00	60.36	63.58	-1.28	1.35
chr13	43019200	43019300	-473	Phactr1	+	5.50	3.40	8.50	1.6	1.54
chr13	46822250	46822436	-610	Fam8a1	+	15.00	19.20	15.00	-1.28	-1
chr13	49121792	49121961	288	Fam120aos	+	14.00	11.80	12.50	1.19	-1.12
chr13	49122470	49122570	932	Fam120aos	+	10.00	3.00	4.50	3.39	-2.23
chr13	49463560	49463660	-926	Fgd3	+	8.00	11.30	18.50	-1.41	2.31
chr13	50755355	50755455	-289	Mir683-2	+	7.00	7.90	16.50	-1.12	2.35
chr13	51723451	51723570	-23	Shc3	+	20.00	16.70	19.50	1.2	-1.03
chr13	51723745	51723845	-308	Shc3	+	9.25	9.54	5.14	-1.04	-1.8
chr13	51902774	51902914	2	Sema4d	+	60.50	32.07	62.48	1.88	1.03
chr13	51903013	51903113	-217	Sema4d	+	57.25	47.26	62.30	1.21	1.09
chr13	54737604	54737704	233	Nop16	+	7.50	6.40	17.00	1.17	2.26
chr13	54759101	54759207	32	Cltb	+	9.75	7.70	8.21	1.27	-1.19
chr13	55169168	55169280	-26	Hk3	+	72.25	45.54	79.68	1.58	1.1
chr13	55469202	55469302	541	Rab24	+	6.00	12.80	15.50	-2.13	2.58
chr13	55469363	55469463	380	Rab24	+	5.00	14.30	18.00	-2.85	3.59
chr13	55510814	55510914	-268	Lman2	+	18.50	6.40	24.00	2.89	1.29
chr13	55511023	55511123	-477	Lman2	+	15.25	8.26	23.89	1.85	1.56
chr13	55511167	55511267	-621	Lman2	+	12.25	12.54	18.89	-1.02	1.54
chr13	55517028	55517202	-430	Rgs14	+	31.50	13.80	26.50	2.29	-1.19
chr13	55593077	55593211	0	Grk6	+	164.75	104.01	201.13	1.58	1.22
chr13	55599893	55599993	-976	Mir6943	+	67.00	48.84	75.46	1.37	1.13
chr13	55600010	55600132	-848	Mir6943	+	79.25	54.58	88.64	1.45	1.12
chr13	59971746	59971846	-835	Tut7	+	9.25	11.38	14.69	-1.23	1.59
chr13	59971868	59971968	-957	Tut7	+	14.25	11.69	17.42	1.22	1.22
chr13	60177001	60177124	-463	A530065N20Rik	+	42.50	34.00	46.45	1.25	1.09
chr13	60177284	60177384	-191	A530065N20Rik	+	54.00	49.78	66.12	1.09	1.22
chr13	62907789	62907889	-714	Mir713	+	7.25	16.14	8.80	-2.23	1.21
chr13	64237310	64237410	-345	Hsd17b3	+	10.25	14.84	12.30	-1.45	1.2
chr13	64237460	64237560	-495	Hsd17b3	+	10.00	8.90	14.00	1.13	1.4
chr13	64309101	64309201	-529	Habp4	+	16.25	19.31	23.59	-1.19	1.45
chr13	64309202	64309302	-428	Habp4	+	24.00	17.70	24.00	1.36	-1
chr13	67081327	67081427	-241	Mterf3	+	105.25	76.83	104.01	1.37	-1.01
chr13	67081466	67081583	-388	Mterf3	+	109.50	93.62	111.83	1.17	1.02
chr13	70380276	70380434	-586	4930520P13Rik	+	13.25	12.56	11.21	1.06	-1.18
chr13	73476833	73476933	-282	Ndufs6	+	10.25	14.63	15.64	-1.43	1.52
chr13	73478532	73478632	-546	Mrpl36	+	3.50	7.90	5.00	-2.25	1.43
chr13	73683930	73684030	-886	Slc6a3	+	8.25	24.85	6.19	-3.01	-1.34
chr13	73847172	73847272	-852	Slc6a19os	+	32.50	24.72	37.48	1.32	1.15
chr13	74085147	74085317	654	Trip13	+	26.75	20.01	30.18	1.34	1.13
chr13	74956072	74956172	-43	Cast	+	23.00	30.50	23.50	-1.33	1.02
chr13	76532062	76532172	-141	Mctp1	+	18.00	26.10	18.00	-1.45	-1
chr13	81805670	81805770	-205	Lysmd3	+	2.50	6.40	0.50	-2.56	-5.01
chr13	81930578	81930678	-738	Cetn3	+	2.50	7.90	12.50	-3.15	4.99
chr13	83869052	83869152	-398	Mir9-2hg	+	34.00	38.66	32.35	-1.14	-1.05
chr13	83869221	83869321	-229	Mir9-2hg	+	24.75	27.23	26.77	-1.1	1.08
chr13	83869390	83869490	-60	Mir9-2hg	+	6.00	8.90	7.00	-1.48	1.16
chr13	83876056	83876156	-119	Mir9-2hg	+	4.00	3.00	5.00	1.36	1.25
chr13	83880106	83880240	-439	Mir9-2hg	+	8.75	10.99	7.72	-1.26	-1.14
chr13	83880380	83880480	-182	Mir9-2hg	+	13.00	21.20	12.00	-1.63	-1.09
chr13	84038823	84038961	-435	2810049E08Rik	+	10.50	23.60	20.00	-2.25	1.9
chr13	90237985	90238125	269	Tmem167	+	7.75	8.62	8.78	-1.11	1.13
chr13	90238551	90238651	815	Tmem167	+	24.50	21.23	20.85	1.15	-1.18
chr13	91536787	91536887	-633	A830009L08Rik	+	10.00	17.70	15.50	-1.77	1.55
chr13	91536991	91537092	-837	A830009L08Rik	+	13.25	16.39	19.88	-1.24	1.5
chr13	91955884	91956066	-160	Zcchc9	+	20.00	28.00	13.00	-1.4	-1.54
chr13	92490937	92491037	-304	Dhfr	+	24.50	21.20	24.50	1.16	-1
chr13	92491043	92491143	-198	Dhfr	+	23.00	23.10	19.00	-1.01	-1.21
chr13	92491253	92491353	12	Dhfr	+	12.00	14.30	8.00	-1.19	-1.5
chr13	92667613	92667713	-345	Zfyve16	+	2.75	7.24	7.15	-2.62	2.6
chr13	95616057	95616157	-944	S100z	+	6.75	6.65	6.75	1.02	-1
chr13	99063091	99063191	-249	Tnpo1	+	7.50	23.10	4.50	-3.08	-1.67
chr13	99237169	99237269	12	Gm807	+	11.00	8.51	17.81	1.3	1.62
chr13	100805887	100806061	-15	Ccdc125	+	35.00	25.24	29.32	1.39	-1.19
chr13	101534940	101535040	-902	4922502H24Rik	+	25.50	37.90	19.50	-1.49	-1.31
chr13	101684683	101684783	-73	Gm41043	+	6.50	7.90	6.50	-1.21	-1
chr13	101685412	101685512	-802	Gm41043	+	6.00	6.37	7.09	-1.06	1.18
chr13	102896390	102896490	-323	1700099I09Rik	+	5.00	7.40	8.50	-1.48	1.7
chr13	104953638	104953738	10	Srek1ip1	+	15.25	10.63	6.10	1.43	-2.5
chr13	110040147	110040247	-146	Mir1904	+	13.25	10.22	14.84	1.29	1.12
chr13	111391216	111391316	-281	Actbl2	+	11.75	15.86	8.17	-1.35	-1.44
chr13	111627526	111627626	-915	Gpbp1	+	10.25	13.96	6.15	-1.36	-1.67
chr13	111686557	111686807	-239	Gm15290	+	182.75	124.53	170.26	1.47	-1.07
chr13	112425061	112425161	59	Ankrd55	+	18.50	6.72	12.33	2.76	-1.5
chr13	113130024	113130137	-322	Mcidas	+	47.75	46.95	59.21	1.02	1.24
chr13	113183341	113183441	-469	Gpx8	+	11.25	5.77	24.03	1.95	2.13
chr13	113930433	113930533	-561	Arl15	+	10.50	8.90	6.50	1.19	-1.62
chr13	114288230	114288330	-152	A430090L17Rik	+	6.00	11.30	5.00	-1.89	-1.2
chr13	114288484	114288646	-437	A430090L17Rik	+	33.50	29.00	25.00	1.15	-1.34
chr13	116974777	116974877	-113	4930435F18Rik	+	14.25	15.43	16.79	-1.09	1.18
chr13	117738365	117738465	-441	Hcn1	+	8.25	7.18	9.28	1.15	1.12
chr13	117738577	117738677	-229	Hcn1	+	10.50	4.90	11.00	2.13	1.05
chr13	118692233	118692333	-421	1700003P14Rik	+	6.00	12.30	2.00	-2.05	-3.01
chr13	118850211	118850311	-974	Fgf10	+	12.50	19.20	6.00	-1.53	-2.09
chr14	9646440	9646540	-194	Cadps	+	24.25	23.86	14.45	1.02	-1.68
chr14	9646599	9646699	-35	Cadps	+	22.50	26.02	15.85	-1.15	-1.42
chr14	11307298	11307398	-390	Fhit	+	21.00	13.97	24.59	1.51	1.17
chr14	11307403	11307518	-278	Fhit	+	22.50	12.52	20.45	1.8	-1.1
chr14	13803658	13803758	225	Cfap20dc	+	8.75	4.76	15.96	1.83	1.82
chr14	14467039	14467139	-204	Abhd6	+	7.50	22.10	7.50	-2.95	-1
chr14	14513365	14513465	-942	Gm45521	+	12.00	20.70	16.50	-1.72	1.37
chr14	15785253	15785353	-238	Gm3629	+	45.50	64.97	64.82	-1.43	1.42
chr14	16181937	16182043	-533	Gm3411	+	10.50	13.80	19.00	-1.31	1.81
chr14	17080058	17080180	-580	Gm3500	+	6.50	6.90	8.00	-1.06	1.23
chr14	18623401	18623501	77	D830030K20Rik	+	7.50	5.90	9.50	1.27	1.26
chr14	18781122	18781222	-118	Gm10408	+	15.00	3.00	9.00	5.08	-1.67
chr14	18835150	18835250	32	Gm5795	+	12.00	9.30	9.50	1.28	-1.27
chr14	19800554	19800654	-721	Nid2	+	7.00	9.30	18.00	-1.34	2.57
chr14	19801305	19801405	30	Nid2	+	13.00	8.40	6.50	1.55	-2
chr14	19874479	19874609	-653	Rtraf	+	14.00	11.80	8.00	1.19	-1.75
chr14	20319221	20319393	30	Kcnk16	+	13.00	6.90	7.00	1.89	-1.86
chr14	20595827	20595927	-484	1810062O18Rik	+	73.75	54.42	76.16	1.36	1.03
chr14	20596507	20596623	76	Ppp3cb	+	13.00	9.30	6.50	1.39	-2
chr14	20597302	20597402	-711	Ppp3cb	+	4.00	9.30	10.00	-2.34	2.5
chr14	20707489	20707693	-983	Myoz1	+	236.50	166.59	224.45	1.42	-1.05
chr14	20724288	20724420	-35	Sec24c	+	40.25	22.19	30.98	1.81	-1.3
chr14	20785120	20785220	-540	Ndst2	+	6.50	3.00	6.00	2.2	-1.09
chr14	21801480	21801580	-90	Samd8	+	10.50	3.25	3.68	3.19	-2.86
chr14	23144933	23145033	-344	Gm10248	+	10.50	5.63	12.60	1.86	1.2
chr14	23145173	23145273	-584	Gm10248	+	13.50	10.80	10.00	1.25	-1.35
chr14	25459400	25459527	-146	Zmiz1	+	85.25	79.00	104.72	1.08	1.23
chr14	25459588	25459688	29	Zmiz1	+	63.25	51.09	72.84	1.24	1.15
chr14	25534729	25534829	-84	Mir3075	+	5.75	3.26	1.05	1.74	-5.51
chr14	25586739	25586901	-408	4931406H21Rik	+	21.00	12.01	18.95	1.75	-1.11
chr14	25694062	25694258	-434	Ppif	+	206.50	142.91	228.21	1.44	1.1
chr14	25701953	25702053	-297	Ppifos	+	15.50	10.46	8.27	1.48	-1.88
chr14	25702098	25702212	-449	Ppifos	+	24.50	18.70	21.00	1.31	-1.17
chr14	25842266	25842448	-222	Anxa11	+	26.00	27.47	42.72	-1.06	1.64
chr14	27230534	27230634	-167	Ccdc66	+	11.00	3.00	6.50	3.73	-1.7
chr14	31217791	31217912	815	Eaf1	+	32.25	16.57	46.26	1.94	1.43
chr14	33533303	33533403	-113	4930503F20Rik	+	9.50	9.31	8.97	1.02	-1.06
chr14	33824738	33824838	-77	A630023A22Rik	+	47.75	49.39	52.32	-1.03	1.1
chr14	33824869	33824995	-221	A630023A22Rik	+	24.75	26.18	24.22	-1.06	-1.02
chr14	33923574	33923674	-34	Gprin2	+	36.75	33.75	40.79	1.09	1.11
chr14	33923737	33923879	-218	Gprin2	+	33.00	38.40	36.40	-1.16	1.1
chr14	34077466	34077566	-166	Fam25a	+	10.50	7.40	16.50	1.42	1.57
chr14	36770919	36771019	2	Rgr	+	4.00	8.90	5.00	-2.21	1.25
chr14	40615349	40615449	-128	Sh2d4b	+	7.00	12.80	7.50	-1.83	1.07
chr14	40791675	40791827	-586	Dydc2	+	78.25	77.95	73.13	1	-1.07
chr14	40791859	40791959	-744	Dydc2	+	62.25	46.02	45.58	1.35	-1.37
chr14	45456289	45456463	506	Txndc16	+	19.50	25.45	18.99	-1.3	-1.03
chr14	45588122	45588222	-471	Styx	+	15.00	13.80	10.00	1.09	-1.5
chr14	45588540	45588640	-53	Styx	+	28.00	18.37	25.45	1.52	-1.1
chr14	45768095	45768247	-649	Fermt2	+	25.75	17.53	19.19	1.47	-1.34
chr14	47354565	47354665	-997	Gm10371	+	29.50	17.70	19.00	1.67	-1.56
chr14	47515205	47515347	899	Socs4	+	18.50	14.80	17.50	1.25	-1.06
chr14	47806020	47806120	-179	Atg14	+	17.50	19.20	14.50	-1.1	-1.21
chr14	47806130	47806264	-306	Atg14	+	17.75	21.79	11.16	-1.23	-1.59
chr14	48136006	48136106	-265	4930447J18Rik	+	22.50	15.36	26.08	1.46	1.16
chr14	51108042	51108142	-81	Tep1	+	2.75	5.87	3.30	-2.13	1.2
chr14	51108380	51108480	-419	Tep1	+	12.75	6.52	5.84	1.96	-2.19
chr14	51244805	51244905	-353	Rnase10	+	8.00	0.50	9.00	16.26	1.12
chr14	51789411	51789579	-752	Gm5622	+	13.25	16.88	11.21	-1.28	-1.18
chr14	52152258	52152363	-849	Ndrg2	+	48.00	43.93	51.51	1.09	1.07
chr14	52156081	52156181	-87	Tppp2	+	10.25	11.03	17.43	-1.08	1.7
chr14	52257543	52257646	-424	Zfp219	+	186.75	188.49	194.10	-1.01	1.04
chr14	52257670	52257770	470	Zfp219	+	383.50	353.30	426.48	1.09	1.11
chr14	54701528	54701636	-22	Lrp10	+	32.50	21.20	34.90	1.54	1.07
chr14	54754792	54754901	81	Prmt5	+	11.25	14.48	15.85	-1.28	1.41
chr14	54843642	54843745	-328	4931414P19Rik	+	21.00	12.80	26.90	1.64	1.28
chr14	54936245	54936345	-5	Cirop	+	81.25	65.49	92.29	1.24	1.14
chr14	54936583	54936741	-372	Cirop	+	44.00	31.64	54.52	1.39	1.24
chr14	55101731	55101892	-196	Homez	+	24.75	20.49	35.76	1.21	1.45
chr14	55102135	55102235	-570	Homez	+	6.75	4.24	4.15	1.58	-1.63
chr14	55115584	55115726	-660	Ppp1r3e	+	33.25	12.70	33.15	2.62	-1
chr14	55205194	55205361	-967	Mhrt	+	36.25	50.35	42.69	-1.39	1.18
chr14	55213751	55213851	-568	Mir208b	+	20.00	12.80	30.90	1.56	1.55
chr14	55762544	55762704	-186	Nrl	+	41.00	25.36	43.00	1.62	1.05
chr14	55815226	55815326	-675	Psme1	+	45.25	30.00	29.39	1.51	-1.54
chr14	55815333	55815441	-564	Psme1	+	36.25	33.17	38.16	1.09	1.05
chr14	55823150	55823352	-540	Emc9	+	19.75	13.30	20.27	1.49	1.02
chr14	55873910	55874082	-855	Ipo4	+	93.50	76.38	89.76	1.22	-1.04
chr14	57808663	57808763	326	Eef1akmt1	+	27.75	25.37	18.16	1.09	-1.53
chr14	58034662	58034762	-934	Sap18	+	39.75	36.67	45.69	1.08	1.15
chr14	58034800	58034934	-779	Sap18	+	49.00	48.70	50.40	1.01	1.03
chr14	59716031	59716131	-319	Cab39l	+	27.00	46.83	25.98	-1.74	-1.04
chr14	59716133	59716240	-214	Cab39l	+	30.25	51.82	34.25	-1.71	1.13
chr14	59862480	59862580	-200	Shisa2	+	12.75	14.91	6.63	-1.17	-1.93
chr14	60489197	60489297	-319	Nup58	+	10.25	5.76	18.96	1.78	1.85
chr14	63076307	63076422	-384	Gm26536	+	52.75	51.36	67.72	1.03	1.28
chr14	64323647	64323874	31	Prss51	+	28.50	21.23	31.45	1.34	1.11
chr14	66348650	66348750	-591	Ephx2	+	17.25	8.91	18.30	1.93	1.06
chr14	66378079	66378185	-277	Chrna2	+	37.00	36.90	36.40	1	-1.02
chr14	68362404	68362504	-1	Nefm	+	15.50	10.95	10.85	1.41	-1.43
chr14	68820115	68820215	-644	Adamdec1	+	12.50	17.70	19.50	-1.42	1.56
chr14	68820260	68820390	-804	Adamdec1	+	20.75	28.65	35.83	-1.38	1.73
chr14	69970486	69970586	253	4930480K23Rik	+	3.00	11.30	4.00	-3.77	1.33
chr14	70336636	70336754	-847	Bin3	+	26.25	28.23	37.76	-1.08	1.44
chr14	70443330	70443514	49	Sorbs3	+	203.50	176.80	238.36	1.15	1.17
chr14	70527778	70527878	-882	Ppp3cc	+	4.50	4.90	7.00	-1.09	1.55
chr14	70762342	70762565	-932	Sftpc	+	16.25	17.43	15.23	-1.07	-1.07
chr14	70865367	70865604	-980	Dmtn	+	76.00	73.81	48.72	1.03	-1.56
chr14	70874384	70874484	-946	Dmtn	+	11.75	7.25	10.73	1.63	-1.1
chr14	72093459	72093559	-640	4930434J06Rik	+	3.50	10.30	5.50	-2.95	1.57
chr14	73474678	73474841	-572	Lpar6	+	27.00	42.80	35.40	-1.58	1.31
chr14	73563910	73564010	-698	Rb1	+	2.25	8.82	3.94	-3.94	1.75
chr14	74877571	74877796	-631	Htr2a	+	25.50	18.20	27.40	1.4	1.08
